"X" "Pressure" "Temperature" "Density" "Velocity" "H2" "H" "O2" "O" "OH" "HO2" "H2O" "CH3" "CH4" "CO" "CO2" "CH2O" "N2" 
3.0281038752234774e-06 682803.1363844126 1499.36375670017 1.5135263958396883 1489.742465705311 1.4370524803954533e-11 1.0679224651903635e-11 0.22014120252895542 6.983905506609131e-12 7.150636482471029e-12 3.625026787869131e-08 5.618068869128161e-13 1.6893216541465375e-08 0.055186647956278236 3.127335218566528e-18 3.475376232630416e-26 5.152704212376566e-13 0.7246720963310207
3.1884280528554414e-06 682803.137360942 1499.363747531174 1.513526407219601 1489.7424679078424 1.566191992480248e-11 1.0965276968979953e-11 0.2201412006670223 7.604790938681817e-12 7.774155386861214e-12 3.8169501833659e-08 6.461184943609625e-13 1.779163636790044e-08 0.05518664699759501 3.710725446993414e-18 4.339254343746703e-26 5.7166923375265e-13 0.7246720963310207
3.3573196507754645e-06 682803.1383896647 1499.3637378721057 1.5135264192077447 1489.7424702280941 1.7058085527248202e-11 1.1248155565342195e-11 0.2201411987055673 8.274967847319096e-12 8.44527293373456e-12 4.0191281191218494e-08 7.426408750240299e-13 1.873833962160256e-08 0.05518664598738794 4.403554298446805e-18 5.419254588046127e-26 6.342907653601382e-13 0.7246720963310207
3.526211247357747e-06 682803.139418397 1499.363728212912 1.5135264311960006 1489.7424725483677 1.8488679700691202e-11 1.1513323717243527e-11 0.22014119674409102 8.960523054388163e-12 9.12978339233031e-12 4.221304436557368e-08 8.47233038859316e-13 1.9685306872015994e-08 0.05518664497689741 5.18218386967988e-18 6.695451482798346e-26 7.002106474430058e-13 0.7246720963310207
3.695102842602276e-06 682803.1404471387 1499.363718553616 1.5135264431843662 1489.7424748686624 1.9951550773443683e-11 1.1761950795674269e-11 0.22014119478259658 9.660359972485716e-12 9.826494208256053e-12 4.423479044553541e-08 9.600472325911015e-13 2.063252224620416e-08 0.05518664396614035 6.0522658935845314e-18 8.19152404991936e-26 7.69434900099235e-13 0.7246720963310207
3.86399443650904e-06 682803.1414758897 1499.3637088942073 1.5135264551728411 1489.7424771889782 2.144468915255561e-11 1.1995128966726716e-11 0.22014119282108657 1.0373454718002031e-11 1.0534294899591485e-11 4.625651857965647e-08 1.0812220000836029e-12 2.157997091581547e-08 0.05518664295513259 7.019502945979246e-18 9.932673482868047e-26 8.419694929140234e-13 0.7246720963310207
4.032886029078026e-06 682803.1425046499 1499.3636992346844 1.5135264671614237 1489.7424795093148 2.2966217943633467e-11 1.2213878288733626e-11 0.22014119085956374 1.109885131005047e-11 1.1252151602353406e-11 4.8278227972287005e-08 1.2108831265236204e-12 2.2527639028152793e-08 0.0551866419438889 8.089642598471324e-18 1.194563658702915e-25 9.178203482345722e-13 0.7246720963310207
4.201777620309223e-06 682803.1435334195 1499.3636895750462 1.5135264791501135 1489.7424818296722 2.4514384180275997e-11 1.2419151478144598e-11 0.22014118889803036 1.1835657181421422e-11 1.1979101970835913e-11 5.029991787988669e-08 1.3491445208213306e-12 2.3475513641722267e-08 0.0551866409324231 9.268472091926592e-18 1.4258697762253602e-25 9.969933442353536e-13 0.7246720963310207
4.382185703017878e-06 682803.1446323494 1499.3636792566103 1.5135264919564124 1489.742484308274 2.6195694278876618e-11 1.2624540219591115e-11 0.22014118680273367 1.2634367294515426e-11 1.2764656523435461e-11 5.245944182570788e-08 1.5064496937871758e-12 2.4488237024171018e-08 0.05518663985175598 1.0654321959001126e-17 1.7094717941429292e-25 1.0852412974373725e-12 0.7246720963310207
4.562593784200053e-06 682803.1457312895 1499.36366893805 1.5135265047628303 1489.742486786899 2.7903672212534034e-11 1.2816577518725741e-11 0.22014118470743013 1.3444199439701033e-11 1.3558552946031206e-11 5.461894195655747e-08 1.6737976579704564e-12 2.5501168508762417e-08 0.05518663877086478 1.2177967777899249e-17 2.03455796025402e-25 1.1772936280420948e-12 0.7246720963310207
4.743001863855733e-06 682803.1468302396 1499.3636586193493 1.5135265175693677 1489.742489265547 2.9636589265953866e-11 1.2996202949651587e-11 0.22014118261212215 1.4264274418592232e-11 1.4359853413272162e-11 5.6778417537680254e-08 1.8512884482038175e-12 2.6514295321073e-08 0.055186637689763104 1.3846578016183648e-17 2.4051684358539564e-25 1.2731573548002928e-12 0.7246720963310207
4.923409941984899e-06 682803.1479292 1499.3636483005282 1.5135265303760221 1489.7424917442174 3.139283838839002e-11 1.3164289974508156e-11 0.2201411805168119 1.509377528304234e-11 1.5167690144001157e-11 5.893786788547843e-08 2.039010624085834e-12 2.7527605581398892e-08 0.05518663660846365 1.5667350330726853e-17 2.825549607753564e-25 1.3728394528604377e-12 0.7246720963310207
5.103818018587544e-06 682803.1490281702 1499.3636379815778 1.5135265431827936 1489.7424942229106 3.317092563494982e-11 1.3321650594221286e-11 0.2201411784215015 1.5931942954561312e-11 1.5981260427171116e-11 6.109729236391282e-08 2.237042128477358e-12 2.8541088241859543e-08 0.05518663552697819 1.7647507108055636e-17 3.3001549513904925e-25 1.4763468567774277e-12 0.7246720963310207
